Birth Year:
1886
1911
1910
1930
1908
1900
1929
1907
1899
1901
1902
1906
1899
1910
1905
1904
1903
1910
1903
1904
1903
1907
1904
1898
1907
1877
1919
1914
1906
1915
1912
1917
1908
1910
1905
1924
1888
1926
1915
1903
1906
1907
1903
